context,cohort,age_band,panel,gene,drug,feature_importance,intervention_priority
underappreciated_signaling,ed,75-84,ED 75-84,HMGCR,SIMVASTATIN,0.0628544048775277,0.4156508266488471
dynamics,ed,75-84,ED 75-84,LPA,SIMVASTATIN,0.0628544048775277,0.6156508266488471
underappreciated_signaling,ed,75-84,ED 75-84,LPA,SIMVASTATIN,0.0628544048775277,0.6156508266488471
dynamics,ed,75-84,ED 75-84,NEDD4L,HYDROCHLOROTHIAZIDE,0.1094721622284044,1.0
underappreciated_signaling,ed,75-84,ED 75-84,NEDD4L,HYDROCHLOROTHIAZIDE,0.1094721622284044,1.0
dynamics,ed,75-84,ED 75-84,PRKCA,HYDROCHLOROTHIAZIDE,0.1094721622284044,1.0
underappreciated_signaling,ed,75-84,ED 75-84,PRKCA,HYDROCHLOROTHIAZIDE,0.1094721622284044,1.0
underappreciated_signaling,ed,75-84,ED 75-84,PTGFR,LATANOPROST,0.0105274325215499,0.32990087383437355
dynamics,ed,75-84,ED 75-84,SLCO1B1,SIMVASTATIN,0.0628544048775277,0.4156508266488471
kinetics,ed,75-84,ED 75-84,SLCO1B1,SIMVASTATIN,0.0628544048775277,0.4156508266488471
kinetic_pathways,ed,75-84,ED 75-84,SLCO1B1,SIMVASTATIN,0.0628544048775277,0.4156508266488471
dynamics,ed,75-84,ED 75-84,YEATS4,HYDROCHLOROTHIAZIDE,0.1094721622284044,1.0
underappreciated_signaling,ed,75-84,ED 75-84,YEATS4,HYDROCHLOROTHIAZIDE,0.1094721622284044,1.0
dynamics,falls,65-74,Falls 65-74,ABCB1,SIMVASTATIN,0.139618148733837,0.49457746439530276
kinetics,falls,65-74,Falls 65-74,ABCB1,SIMVASTATIN,0.139618148733837,0.49457746439530276
kinetic_pathways,falls,65-74,Falls 65-74,ABCB1,SIMVASTATIN,0.139618148733837,0.49457746439530276
dynamics,falls,65-74,Falls 65-74,ADD1,FUROSEMIDE,0.176921088166812,1.0
underappreciated_signaling,falls,65-74,Falls 65-74,ADD1,FUROSEMIDE,0.176921088166812,1.0
dynamics,falls,65-74,Falls 65-74,ADRA2C,CARVEDILOL,0.0823636922613156,0.4756267157631665
underappreciated_signaling,falls,65-74,Falls 65-74,ADRA2C,CARVEDILOL,0.0823636922613156,0.4756267157631665
dynamics,falls,65-74,Falls 65-74,ADRB1,CARVEDILOL,0.0823636922613156,0.27562671576316655
dynamics,falls,65-74,Falls 65-74,ADRB2,CARVEDILOL,0.0823636922613156,0.27562671576316655
dynamics,falls,65-74,Falls 65-74,CETP,SIMVASTATIN,0.139618148733837,0.6945774643953027
underappreciated_signaling,falls,65-74,Falls 65-74,CETP,SIMVASTATIN,0.139618148733837,0.6945774643953027
dynamics,falls,65-74,Falls 65-74,CYP2C19,OMEPRAZOLE,0.1511059036724252,0.5770432237279519
kinetics,falls,65-74,Falls 65-74,CYP2C19,OMEPRAZOLE,0.1511059036724252,0.5770432237279519
kinetic_pathways,falls,65-74,Falls 65-74,CYP2C19,OMEPRAZOLE,0.1511059036724252,0.5770432237279519
dynamics,falls,65-74,Falls 65-74,CYP2D6,CARVEDILOL,0.0823636922613156,0.27562671576316655
kinetics,falls,65-74,Falls 65-74,CYP2D6,CARVEDILOL,0.0823636922613156,0.27562671576316655
kinetic_pathways,falls,65-74,Falls 65-74,CYP2D6,CARVEDILOL,0.0823636922613156,0.27562671576316655
dynamics,falls,65-74,Falls 65-74,CYP3A4,SIMVASTATIN,0.139618148733837,0.49457746439530276
kinetics,falls,65-74,Falls 65-74,CYP3A4,SIMVASTATIN,0.139618148733837,0.49457746439530276
kinetic_pathways,falls,65-74,Falls 65-74,CYP3A4,SIMVASTATIN,0.139618148733837,0.49457746439530276
dynamics,falls,65-74,Falls 65-74,CYP3A5,SIMVASTATIN,0.139618148733837,0.49457746439530276
kinetics,falls,65-74,Falls 65-74,CYP3A5,SIMVASTATIN,0.139618148733837,0.49457746439530276
kinetic_pathways,falls,65-74,Falls 65-74,CYP3A5,SIMVASTATIN,0.139618148733837,0.49457746439530276
dynamics,falls,65-74,Falls 65-74,GRK4,CARVEDILOL,0.0823636922613156,0.4756267157631665
underappreciated_signaling,falls,65-74,Falls 65-74,GRK4,CARVEDILOL,0.0823636922613156,0.4756267157631665
dynamics,falls,65-74,Falls 65-74,GRK5,CARVEDILOL,0.0823636922613156,0.4756267157631665
underappreciated_signaling,falls,65-74,Falls 65-74,GRK5,CARVEDILOL,0.0823636922613156,0.4756267157631665
dynamics,falls,65-74,Falls 65-74,HMGCR,SIMVASTATIN,0.139618148733837,0.49457746439530276
underappreciated_signaling,falls,65-74,Falls 65-74,HMGCR,SIMVASTATIN,0.139618148733837,0.49457746439530276
dynamics,falls,65-74,Falls 65-74,LPA,SIMVASTATIN,0.139618148733837,0.6945774643953027
underappreciated_signaling,falls,65-74,Falls 65-74,LPA,SIMVASTATIN,0.139618148733837,0.6945774643953027
dynamics,falls,65-74,Falls 65-74,SLCO1B1,SIMVASTATIN,0.139618148733837,0.49457746439530276
kinetics,falls,65-74,Falls 65-74,SLCO1B1,SIMVASTATIN,0.139618148733837,0.49457746439530276
kinetic_pathways,falls,65-74,Falls 65-74,SLCO1B1,SIMVASTATIN,0.139618148733837,0.49457746439530276
dynamics,falls,75-84,Falls 75-84,ABCB1,SIMVASTATIN,0.0473723713856008,0.4793226991501841
kinetics,falls,75-84,Falls 75-84,ABCB1,SIMVASTATIN,0.0473723713856008,0.4793226991501841
kinetic_pathways,falls,75-84,Falls 75-84,ABCB1,SIMVASTATIN,0.0473723713856008,0.4793226991501841
dynamics,falls,75-84,Falls 75-84,ADD1,FUROSEMIDE,0.0791326075838837,1.0
underappreciated_signaling,falls,75-84,Falls 75-84,ADD1,FUROSEMIDE,0.0791326075838837,1.0
dynamics,falls,75-84,Falls 75-84,CETP,SIMVASTATIN,0.0473723713856008,0.6793226991501841
underappreciated_signaling,falls,75-84,Falls 75-84,CETP,SIMVASTATIN,0.0473723713856008,0.6793226991501841
dynamics,falls,75-84,Falls 75-84,CYP3A4,SIMVASTATIN,0.0473723713856008,0.4793226991501841
kinetics,falls,75-84,Falls 75-84,CYP3A4,SIMVASTATIN,0.0473723713856008,0.4793226991501841
kinetic_pathways,falls,75-84,Falls 75-84,CYP3A4,SIMVASTATIN,0.0473723713856008,0.4793226991501841
dynamics,falls,75-84,Falls 75-84,CYP3A5,SIMVASTATIN,0.0473723713856008,0.4793226991501841
kinetics,falls,75-84,Falls 75-84,CYP3A5,SIMVASTATIN,0.0473723713856008,0.4793226991501841
kinetic_pathways,falls,75-84,Falls 75-84,CYP3A5,SIMVASTATIN,0.0473723713856008,0.4793226991501841
dynamics,falls,75-84,Falls 75-84,HMGCR,SIMVASTATIN,0.0473723713856008,0.4793226991501841
underappreciated_signaling,falls,75-84,Falls 75-84,HMGCR,SIMVASTATIN,0.0473723713856008,0.4793226991501841
dynamics,falls,75-84,Falls 75-84,LPA,SIMVASTATIN,0.0473723713856008,0.6793226991501841
underappreciated_signaling,falls,75-84,Falls 75-84,LPA,SIMVASTATIN,0.0473723713856008,0.6793226991501841
dynamics,falls,75-84,Falls 75-84,NEDD4L,HYDROCHLOROTHIAZIDE,0.0416143285241111,0.6129404602900155
underappreciated_signaling,falls,75-84,Falls 75-84,NEDD4L,HYDROCHLOROTHIAZIDE,0.0416143285241111,0.6129404602900155
dynamics,falls,75-84,Falls 75-84,PRKCA,HYDROCHLOROTHIAZIDE,0.0416143285241111,0.6129404602900155
underappreciated_signaling,falls,75-84,Falls 75-84,PRKCA,HYDROCHLOROTHIAZIDE,0.0416143285241111,0.6129404602900155
dynamics,falls,75-84,Falls 75-84,SLCO1B1,SIMVASTATIN,0.0473723713856008,0.4793226991501841
kinetics,falls,75-84,Falls 75-84,SLCO1B1,SIMVASTATIN,0.0473723713856008,0.4793226991501841
kinetic_pathways,falls,75-84,Falls 75-84,SLCO1B1,SIMVASTATIN,0.0473723713856008,0.4793226991501841
dynamics,falls,75-84,Falls 75-84,YEATS4,HYDROCHLOROTHIAZIDE,0.0416143285241111,0.6129404602900155
underappreciated_signaling,falls,75-84,Falls 75-84,YEATS4,HYDROCHLOROTHIAZIDE,0.0416143285241111,0.6129404602900155
