source,target,relation,weight,mentions,evidence,seed_edge,feature_importance,rank,source_feature,cohort,age_band,density_bin,network_cohort,network_age_band,outcome,panel,drug,gene,importance_norm,inv_rank_norm,tier_weight,context_tags,primary_context,intervention_priority
CYP2C19,CLOPIDOGREL,feature_importance_drug_gene,0.05,,Top consensus drug feature rank 21; combined importance 0.0078,True,0.0077854785147482,21.0,item_drug_CLOPIDOGREL,ed,65-74,all,ed,65-74,ED,ED 65-74,CLOPIDOGREL,CYP2C19,0.019755069449253742,0.047619047619047616,1.0,kinetics,kinetics,0.024163249010341156
CYP2C8,IBUPROFEN,feature_importance_drug_gene,0.05,,Top consensus drug feature rank 10; combined importance 0.0403,True,0.0403084051909705,10.0,item_drug_IBUPROFEN,ed,65-74,all,ed,65-74,ED,ED 65-74,IBUPROFEN,CYP2C8,0.10227956347549388,0.1,1.0,context_review,context_review,0.08113978173774694
CYP2C9,IBUPROFEN,feature_importance_drug_gene,0.05,,Top consensus drug feature rank 10; combined importance 0.0403,True,0.0403084051909705,10.0,item_drug_IBUPROFEN,ed,65-74,all,ed,65-74,ED,ED 65-74,IBUPROFEN,CYP2C9,0.10227956347549388,0.1,1.0,context_review,context_review,0.08113978173774694
CYP2C9,MELOXICAM,feature_importance_drug_gene,0.05,,Top consensus drug feature rank 13; combined importance 0.0230,True,0.0229784095416196,13.0,item_drug_MELOXICAM,ed,65-74,all,ed,65-74,ED,ED 65-74,MELOXICAM,CYP2C9,0.05830599563895547,0.07692307692307693,1.0,context_review,context_review,0.052229920896400814
CYP2C9,NAPROXEN,feature_importance_drug_gene,0.05,,Top consensus drug feature rank 25; combined importance 0.0004,True,0.0004144450712703,25.0,item_drug_NAPROXEN,ed,65-74,all,ed,65-74,ED,ED 65-74,NAPROXEN,CYP2C9,0.0010516233716830817,0.04,1.0,context_review,context_review,0.012525811685841541
CYP2D6,CARVEDILOL,feature_importance_drug_gene,0.3941002857391777,,Top consensus drug feature rank 1; combined importance 0.3941,True,0.3941002857391777,1.0,item_drug_CARVEDILOL,ed,65-74,all,ed,65-74,ED,ED 65-74,CARVEDILOL,CYP2D6,1.0,1.0,1.0,dynamics;kinetics;kinetic_pathways,kinetic_pathways,0.8
CYP3A4,SIMVASTATIN,feature_importance_drug_gene,0.0576840694301267,,Top consensus drug feature rank 8; combined importance 0.0577,True,0.0576840694301267,8.0,item_drug_SIMVASTATIN,ed,65-74,all,ed,65-74,ED,ED 65-74,SIMVASTATIN,CYP3A4,0.1463690119430743,0.125,1.0,dynamics;kinetics;kinetic_pathways,kinetic_pathways,0.11068450597153714
CYP3A5,SIMVASTATIN,feature_importance_drug_gene,0.0576840694301267,,Top consensus drug feature rank 8; combined importance 0.0577,True,0.0576840694301267,8.0,item_drug_SIMVASTATIN,ed,65-74,all,ed,65-74,ED,ED 65-74,SIMVASTATIN,CYP3A5,0.1463690119430743,0.125,1.0,dynamics;kinetics;kinetic_pathways,kinetic_pathways,0.11068450597153714
G6PD,OFLOXACIN,feature_importance_drug_gene,0.05,,Top consensus drug feature rank 22; combined importance 0.0017,True,0.0017422174199157,22.0,item_drug_OFLOXACIN,ed,65-74,all,ed,65-74,ED,ED 65-74,OFLOXACIN,G6PD,0.004420746401256682,0.045454545454545456,1.0,context_review,context_review,0.015846736836991976
GRK4,CARVEDILOL,feature_importance_drug_gene,0.3941002857391777,,Top consensus drug feature rank 1; combined importance 0.3941,True,0.3941002857391777,1.0,item_drug_CARVEDILOL,ed,65-74,all,ed,65-74,ED,ED 65-74,CARVEDILOL,GRK4,1.0,1.0,1.2,dynamics;underappreciated_signaling,underappreciated_signaling,1.0
GRK4,ATENOLOL,feature_importance_drug_gene,0.05,,Top consensus drug feature rank 24; combined importance 0.0009,True,0.0008534541696594,24.0,item_drug_ATENOLOL,ed,65-74,all,ed,65-74,ED,ED 65-74,ATENOLOL,GRK4,0.0021655761250176575,0.041666666666666664,1.2,underappreciated_signaling,underappreciated_signaling,0.21358278806250877
GRK5,CARVEDILOL,feature_importance_drug_gene,0.3941002857391777,,Top consensus drug feature rank 1; combined importance 0.3941,True,0.3941002857391777,1.0,item_drug_CARVEDILOL,ed,65-74,all,ed,65-74,ED,ED 65-74,CARVEDILOL,GRK5,1.0,1.0,1.2,dynamics;underappreciated_signaling,underappreciated_signaling,1.0
GRK5,ATENOLOL,feature_importance_drug_gene,0.05,,Top consensus drug feature rank 24; combined importance 0.0009,True,0.0008534541696594,24.0,item_drug_ATENOLOL,ed,65-74,all,ed,65-74,ED,ED 65-74,ATENOLOL,GRK5,0.0021655761250176575,0.041666666666666664,1.2,underappreciated_signaling,underappreciated_signaling,0.21358278806250877
HLA-A,ALLOPURINOL,feature_importance_drug_gene,0.05,,Top consensus drug feature rank 14; combined importance 0.0211,True,0.0210520503320137,14.0,item_drug_ALLOPURINOL,ed,65-74,all,ed,65-74,ED,ED 65-74,ALLOPURINOL,HLA-A,0.053418003218465834,0.07142857142857142,1.0,allergic_response,allergic_response,0.048137573037804346
HLA-B,ALLOPURINOL,feature_importance_drug_gene,0.05,,Top consensus drug feature rank 14; combined importance 0.0211,True,0.0210520503320137,14.0,item_drug_ALLOPURINOL,ed,65-74,all,ed,65-74,ED,ED 65-74,ALLOPURINOL,HLA-B,0.053418003218465834,0.07142857142857142,1.0,allergic_response,allergic_response,0.048137573037804346
HLA-C,ALLOPURINOL,feature_importance_drug_gene,0.05,,Top consensus drug feature rank 14; combined importance 0.0211,True,0.0210520503320137,14.0,item_drug_ALLOPURINOL,ed,65-74,all,ed,65-74,ED,ED 65-74,ALLOPURINOL,HLA-C,0.053418003218465834,0.07142857142857142,1.0,allergic_response,allergic_response,0.048137573037804346
HMGCR,SIMVASTATIN,feature_importance_drug_gene,0.0576840694301267,,Top consensus drug feature rank 8; combined importance 0.0577,True,0.0576840694301267,8.0,item_drug_SIMVASTATIN,ed,65-74,all,ed,65-74,ED,ED 65-74,SIMVASTATIN,HMGCR,0.1463690119430743,0.125,1.0,dynamics;underappreciated_signaling,underappreciated_signaling,0.11068450597153714
LPA,SIMVASTATIN,feature_importance_drug_gene,0.0576840694301267,,Top consensus drug feature rank 8; combined importance 0.0577,True,0.0576840694301267,8.0,item_drug_SIMVASTATIN,ed,65-74,all,ed,65-74,ED,ED 65-74,SIMVASTATIN,LPA,0.1463690119430743,0.125,1.2,dynamics;underappreciated_signaling,underappreciated_signaling,0.3106845059715371
NEDD4L,HYDROCHLOROTHIAZIDE,feature_importance_drug_gene,0.05,,Top consensus drug feature rank 16; combined importance 0.0135,True,0.0134934340370799,16.0,item_drug_HYDROCHLOROTHIAZIDE,ed,65-74,all,ed,65-74,ED,ED 65-74,HYDROCHLOROTHIAZIDE,NEDD4L,0.03423857968479141,0.0625,1.2,dynamics;underappreciated_signaling,underappreciated_signaling,0.23586928984239566
PRKCA,HYDROCHLOROTHIAZIDE,feature_importance_drug_gene,0.05,,Top consensus drug feature rank 16; combined importance 0.0135,True,0.0134934340370799,16.0,item_drug_HYDROCHLOROTHIAZIDE,ed,65-74,all,ed,65-74,ED,ED 65-74,HYDROCHLOROTHIAZIDE,PRKCA,0.03423857968479141,0.0625,1.2,dynamics;underappreciated_signaling,underappreciated_signaling,0.23586928984239566
PTGFR,LATANOPROST,feature_importance_drug_gene,0.05,,Top consensus drug feature rank 18; combined importance 0.0112,True,0.0112290876601472,18.0,item_drug_LATANOPROST,ed,65-74,all,ed,65-74,ED,ED 65-74,LATANOPROST,PTGFR,0.028492970105529945,0.05555555555555555,1.2,underappreciated_signaling,underappreciated_signaling,0.2309131517194316
SLCO1B1,SIMVASTATIN,feature_importance_drug_gene,0.0576840694301267,,Top consensus drug feature rank 8; combined importance 0.0577,True,0.0576840694301267,8.0,item_drug_SIMVASTATIN,ed,65-74,all,ed,65-74,ED,ED 65-74,SIMVASTATIN,SLCO1B1,0.1463690119430743,0.125,1.0,dynamics;kinetics;kinetic_pathways,kinetic_pathways,0.11068450597153714
YEATS4,HYDROCHLOROTHIAZIDE,feature_importance_drug_gene,0.05,,Top consensus drug feature rank 16; combined importance 0.0135,True,0.0134934340370799,16.0,item_drug_HYDROCHLOROTHIAZIDE,ed,65-74,all,ed,65-74,ED,ED 65-74,HYDROCHLOROTHIAZIDE,YEATS4,0.03423857968479141,0.0625,1.2,dynamics;underappreciated_signaling,underappreciated_signaling,0.23586928984239566
ABCB1,SIMVASTATIN,feature_importance_drug_gene,0.0628544048775277,,Top consensus drug feature rank 7; combined importance 0.0629,True,0.0628544048775277,7.0,item_drug_SIMVASTATIN,ed,75-84,all,ed,75-84,ED,ED 75-84,SIMVASTATIN,ABCB1,0.5741587961548371,0.42857142857142855,1.0,dynamics;kinetics;kinetic_pathways,kinetic_pathways,0.4156508266488471
ADRA2C,CARVEDILOL,feature_importance_drug_gene,0.07040110649759,,Top consensus drug feature rank 5; combined importance 0.0704,True,0.07040110649759,5.0,item_drug_CARVEDILOL,ed,75-84,all,ed,75-84,ED,ED 75-84,CARVEDILOL,ADRA2C,0.6430959712908936,0.6000000000000001,1.2,dynamics;underappreciated_signaling,underappreciated_signaling,0.7015479856454467
ADRA2C,ATENOLOL,feature_importance_drug_gene,0.05,,Top consensus drug feature rank 12; combined importance 0.0050,True,0.0049709752911674,12.0,item_drug_ATENOLOL,ed,75-84,all,ed,75-84,ED,ED 75-84,ATENOLOL,ADRA2C,0.04540857867405488,0.25,1.2,underappreciated_signaling,underappreciated_signaling,0.2977042893370274
ADRB1,CARVEDILOL,feature_importance_drug_gene,0.07040110649759,,Top consensus drug feature rank 5; combined importance 0.0704,True,0.07040110649759,5.0,item_drug_CARVEDILOL,ed,75-84,all,ed,75-84,ED,ED 75-84,CARVEDILOL,ADRB1,0.6430959712908936,0.6000000000000001,1.0,dynamics,dynamics,0.5015479856454468
ADRB1,ATENOLOL,feature_importance_drug_gene,0.05,,Top consensus drug feature rank 12; combined importance 0.0050,True,0.0049709752911674,12.0,item_drug_ATENOLOL,ed,75-84,all,ed,75-84,ED,ED 75-84,ATENOLOL,ADRB1,0.04540857867405488,0.25,1.0,context_review,context_review,0.09770428933702743
ADRB2,CARVEDILOL,feature_importance_drug_gene,0.07040110649759,,Top consensus drug feature rank 5; combined importance 0.0704,True,0.07040110649759,5.0,item_drug_CARVEDILOL,ed,75-84,all,ed,75-84,ED,ED 75-84,CARVEDILOL,ADRB2,0.6430959712908936,0.6000000000000001,1.0,dynamics,dynamics,0.5015479856454468
CETP,SIMVASTATIN,feature_importance_drug_gene,0.0628544048775277,,Top consensus drug feature rank 7; combined importance 0.0629,True,0.0628544048775277,7.0,item_drug_SIMVASTATIN,ed,75-84,all,ed,75-84,ED,ED 75-84,SIMVASTATIN,CETP,0.5741587961548371,0.42857142857142855,1.2,dynamics;underappreciated_signaling,underappreciated_signaling,0.6156508266488471
CYP2C19,OMEPRAZOLE,feature_importance_drug_gene,0.05,,Top consensus drug feature rank 9; combined importance 0.0440,True,0.0439853916043712,9.0,item_drug_OMEPRAZOLE,ed,75-84,all,ed,75-84,ED,ED 75-84,OMEPRAZOLE,CYP2C19,0.4017952208945997,0.3333333333333333,1.0,dynamics;kinetics;kinetic_pathways,kinetic_pathways,0.30089761044729985
CYP2D6,CARVEDILOL,feature_importance_drug_gene,0.07040110649759,,Top consensus drug feature rank 5; combined importance 0.0704,True,0.07040110649759,5.0,item_drug_CARVEDILOL,ed,75-84,all,ed,75-84,ED,ED 75-84,CARVEDILOL,CYP2D6,0.6430959712908936,0.6000000000000001,1.0,dynamics;kinetics;kinetic_pathways,kinetic_pathways,0.5015479856454468
CYP3A4,SIMVASTATIN,feature_importance_drug_gene,0.0628544048775277,,Top consensus drug feature rank 7; combined importance 0.0629,True,0.0628544048775277,7.0,item_drug_SIMVASTATIN,ed,75-84,all,ed,75-84,ED,ED 75-84,SIMVASTATIN,CYP3A4,0.5741587961548371,0.42857142857142855,1.0,dynamics;kinetics;kinetic_pathways,kinetic_pathways,0.4156508266488471
CYP3A5,SIMVASTATIN,feature_importance_drug_gene,0.0628544048775277,,Top consensus drug feature rank 7; combined importance 0.0629,True,0.0628544048775277,7.0,item_drug_SIMVASTATIN,ed,75-84,all,ed,75-84,ED,ED 75-84,SIMVASTATIN,CYP3A5,0.5741587961548371,0.42857142857142855,1.0,dynamics;kinetics;kinetic_pathways,kinetic_pathways,0.4156508266488471
GRK4,CARVEDILOL,feature_importance_drug_gene,0.07040110649759,,Top consensus drug feature rank 5; combined importance 0.0704,True,0.07040110649759,5.0,item_drug_CARVEDILOL,ed,75-84,all,ed,75-84,ED,ED 75-84,CARVEDILOL,GRK4,0.6430959712908936,0.6000000000000001,1.2,dynamics;underappreciated_signaling,underappreciated_signaling,0.7015479856454467
GRK4,ATENOLOL,feature_importance_drug_gene,0.05,,Top consensus drug feature rank 12; combined importance 0.0050,True,0.0049709752911674,12.0,item_drug_ATENOLOL,ed,75-84,all,ed,75-84,ED,ED 75-84,ATENOLOL,GRK4,0.04540857867405488,0.25,1.2,underappreciated_signaling,underappreciated_signaling,0.2977042893370274
GRK5,CARVEDILOL,feature_importance_drug_gene,0.07040110649759,,Top consensus drug feature rank 5; combined importance 0.0704,True,0.07040110649759,5.0,item_drug_CARVEDILOL,ed,75-84,all,ed,75-84,ED,ED 75-84,CARVEDILOL,GRK5,0.6430959712908936,0.6000000000000001,1.2,dynamics;underappreciated_signaling,underappreciated_signaling,0.7015479856454467
GRK5,ATENOLOL,feature_importance_drug_gene,0.05,,Top consensus drug feature rank 12; combined importance 0.0050,True,0.0049709752911674,12.0,item_drug_ATENOLOL,ed,75-84,all,ed,75-84,ED,ED 75-84,ATENOLOL,GRK5,0.04540857867405488,0.25,1.2,underappreciated_signaling,underappreciated_signaling,0.2977042893370274
HMGCR,SIMVASTATIN,feature_importance_drug_gene,0.0628544048775277,,Top consensus drug feature rank 7; combined importance 0.0629,True,0.0628544048775277,7.0,item_drug_SIMVASTATIN,ed,75-84,all,ed,75-84,ED,ED 75-84,SIMVASTATIN,HMGCR,0.5741587961548371,0.42857142857142855,1.0,dynamics;underappreciated_signaling,underappreciated_signaling,0.4156508266488471
LPA,SIMVASTATIN,feature_importance_drug_gene,0.0628544048775277,,Top consensus drug feature rank 7; combined importance 0.0629,True,0.0628544048775277,7.0,item_drug_SIMVASTATIN,ed,75-84,all,ed,75-84,ED,ED 75-84,SIMVASTATIN,LPA,0.5741587961548371,0.42857142857142855,1.2,dynamics;underappreciated_signaling,underappreciated_signaling,0.6156508266488471
NEDD4L,HYDROCHLOROTHIAZIDE,feature_importance_drug_gene,0.1094721622284044,,Top consensus drug feature rank 3; combined importance 0.1095,True,0.1094721622284044,3.0,item_drug_HYDROCHLOROTHIAZIDE,ed,75-84,all,ed,75-84,ED,ED 75-84,HYDROCHLOROTHIAZIDE,NEDD4L,1.0,1.0,1.2,dynamics;underappreciated_signaling,underappreciated_signaling,1.0
PRKCA,HYDROCHLOROTHIAZIDE,feature_importance_drug_gene,0.1094721622284044,,Top consensus drug feature rank 3; combined importance 0.1095,True,0.1094721622284044,3.0,item_drug_HYDROCHLOROTHIAZIDE,ed,75-84,all,ed,75-84,ED,ED 75-84,HYDROCHLOROTHIAZIDE,PRKCA,1.0,1.0,1.2,dynamics;underappreciated_signaling,underappreciated_signaling,1.0
PTGFR,LATANOPROST,feature_importance_drug_gene,0.05,,Top consensus drug feature rank 11; combined importance 0.0105,True,0.0105274325215499,11.0,item_drug_LATANOPROST,ed,75-84,all,ed,75-84,ED,ED 75-84,LATANOPROST,PTGFR,0.09616538403238353,0.27272727272727276,1.2,underappreciated_signaling,underappreciated_signaling,0.32990087383437355
SLCO1B1,SIMVASTATIN,feature_importance_drug_gene,0.0628544048775277,,Top consensus drug feature rank 7; combined importance 0.0629,True,0.0628544048775277,7.0,item_drug_SIMVASTATIN,ed,75-84,all,ed,75-84,ED,ED 75-84,SIMVASTATIN,SLCO1B1,0.5741587961548371,0.42857142857142855,1.0,dynamics;kinetics;kinetic_pathways,kinetic_pathways,0.4156508266488471
YEATS4,HYDROCHLOROTHIAZIDE,feature_importance_drug_gene,0.1094721622284044,,Top consensus drug feature rank 3; combined importance 0.1095,True,0.1094721622284044,3.0,item_drug_HYDROCHLOROTHIAZIDE,ed,75-84,all,ed,75-84,ED,ED 75-84,HYDROCHLOROTHIAZIDE,YEATS4,1.0,1.0,1.2,dynamics;underappreciated_signaling,underappreciated_signaling,1.0
ABCB1,SIMVASTATIN,feature_importance_drug_gene,0.139618148733837,,Top consensus drug feature rank 3; combined importance 0.1396,True,0.139618148733837,3.0,item_drug_SIMVASTATIN,falls,65-74,all,falls,65-74,Falls,Falls 65-74,SIMVASTATIN,ABCB1,0.7891549287906056,0.3333333333333333,1.0,dynamics;kinetics;kinetic_pathways,kinetic_pathways,0.49457746439530276
ADD1,FUROSEMIDE,feature_importance_drug_gene,0.176921088166812,,Top consensus drug feature rank 1; combined importance 0.1769,True,0.176921088166812,1.0,item_drug_FUROSEMIDE,falls,65-74,all,falls,65-74,Falls,Falls 65-74,FUROSEMIDE,ADD1,1.0,1.0,1.2,dynamics;underappreciated_signaling,underappreciated_signaling,1.0
ADRA2C,CARVEDILOL,feature_importance_drug_gene,0.0823636922613156,,Top consensus drug feature rank 7; combined importance 0.0824,True,0.0823636922613156,7.0,item_drug_CARVEDILOL,falls,65-74,all,falls,65-74,Falls,Falls 65-74,CARVEDILOL,ADRA2C,0.4655391458120474,0.14285714285714285,1.2,dynamics;underappreciated_signaling,underappreciated_signaling,0.4756267157631665
ADRB1,CARVEDILOL,feature_importance_drug_gene,0.0823636922613156,,Top consensus drug feature rank 7; combined importance 0.0824,True,0.0823636922613156,7.0,item_drug_CARVEDILOL,falls,65-74,all,falls,65-74,Falls,Falls 65-74,CARVEDILOL,ADRB1,0.4655391458120474,0.14285714285714285,1.0,dynamics,dynamics,0.27562671576316655
ADRB2,CARVEDILOL,feature_importance_drug_gene,0.0823636922613156,,Top consensus drug feature rank 7; combined importance 0.0824,True,0.0823636922613156,7.0,item_drug_CARVEDILOL,falls,65-74,all,falls,65-74,Falls,Falls 65-74,CARVEDILOL,ADRB2,0.4655391458120474,0.14285714285714285,1.0,dynamics,dynamics,0.27562671576316655
CETP,SIMVASTATIN,feature_importance_drug_gene,0.139618148733837,,Top consensus drug feature rank 3; combined importance 0.1396,True,0.139618148733837,3.0,item_drug_SIMVASTATIN,falls,65-74,all,falls,65-74,Falls,Falls 65-74,SIMVASTATIN,CETP,0.7891549287906056,0.3333333333333333,1.2,dynamics;underappreciated_signaling,underappreciated_signaling,0.6945774643953027
CYP2C19,OMEPRAZOLE,feature_importance_drug_gene,0.1511059036724252,,Top consensus drug feature rank 2; combined importance 0.1511,True,0.1511059036724252,2.0,item_drug_OMEPRAZOLE,falls,65-74,all,falls,65-74,Falls,Falls 65-74,OMEPRAZOLE,CYP2C19,0.8540864474559038,0.5,1.0,dynamics;kinetics;kinetic_pathways,kinetic_pathways,0.5770432237279519
CYP2D6,CARVEDILOL,feature_importance_drug_gene,0.0823636922613156,,Top consensus drug feature rank 7; combined importance 0.0824,True,0.0823636922613156,7.0,item_drug_CARVEDILOL,falls,65-74,all,falls,65-74,Falls,Falls 65-74,CARVEDILOL,CYP2D6,0.4655391458120474,0.14285714285714285,1.0,dynamics;kinetics;kinetic_pathways,kinetic_pathways,0.27562671576316655
CYP3A4,SIMVASTATIN,feature_importance_drug_gene,0.139618148733837,,Top consensus drug feature rank 3; combined importance 0.1396,True,0.139618148733837,3.0,item_drug_SIMVASTATIN,falls,65-74,all,falls,65-74,Falls,Falls 65-74,SIMVASTATIN,CYP3A4,0.7891549287906056,0.3333333333333333,1.0,dynamics;kinetics;kinetic_pathways,kinetic_pathways,0.49457746439530276
CYP3A5,SIMVASTATIN,feature_importance_drug_gene,0.139618148733837,,Top consensus drug feature rank 3; combined importance 0.1396,True,0.139618148733837,3.0,item_drug_SIMVASTATIN,falls,65-74,all,falls,65-74,Falls,Falls 65-74,SIMVASTATIN,CYP3A5,0.7891549287906056,0.3333333333333333,1.0,dynamics;kinetics;kinetic_pathways,kinetic_pathways,0.49457746439530276
GRK4,CARVEDILOL,feature_importance_drug_gene,0.0823636922613156,,Top consensus drug feature rank 7; combined importance 0.0824,True,0.0823636922613156,7.0,item_drug_CARVEDILOL,falls,65-74,all,falls,65-74,Falls,Falls 65-74,CARVEDILOL,GRK4,0.4655391458120474,0.14285714285714285,1.2,dynamics;underappreciated_signaling,underappreciated_signaling,0.4756267157631665
GRK5,CARVEDILOL,feature_importance_drug_gene,0.0823636922613156,,Top consensus drug feature rank 7; combined importance 0.0824,True,0.0823636922613156,7.0,item_drug_CARVEDILOL,falls,65-74,all,falls,65-74,Falls,Falls 65-74,CARVEDILOL,GRK5,0.4655391458120474,0.14285714285714285,1.2,dynamics;underappreciated_signaling,underappreciated_signaling,0.4756267157631665
HMGCR,SIMVASTATIN,feature_importance_drug_gene,0.139618148733837,,Top consensus drug feature rank 3; combined importance 0.1396,True,0.139618148733837,3.0,item_drug_SIMVASTATIN,falls,65-74,all,falls,65-74,Falls,Falls 65-74,SIMVASTATIN,HMGCR,0.7891549287906056,0.3333333333333333,1.0,dynamics;underappreciated_signaling,underappreciated_signaling,0.49457746439530276
LPA,SIMVASTATIN,feature_importance_drug_gene,0.139618148733837,,Top consensus drug feature rank 3; combined importance 0.1396,True,0.139618148733837,3.0,item_drug_SIMVASTATIN,falls,65-74,all,falls,65-74,Falls,Falls 65-74,SIMVASTATIN,LPA,0.7891549287906056,0.3333333333333333,1.2,dynamics;underappreciated_signaling,underappreciated_signaling,0.6945774643953027
SLCO1B1,SIMVASTATIN,feature_importance_drug_gene,0.139618148733837,,Top consensus drug feature rank 3; combined importance 0.1396,True,0.139618148733837,3.0,item_drug_SIMVASTATIN,falls,65-74,all,falls,65-74,Falls,Falls 65-74,SIMVASTATIN,SLCO1B1,0.7891549287906056,0.3333333333333333,1.0,dynamics;kinetics;kinetic_pathways,kinetic_pathways,0.49457746439530276
ABCB1,SIMVASTATIN,feature_importance_drug_gene,0.05,,Top consensus drug feature rank 5; combined importance 0.0474,True,0.0473723713856008,5.0,item_drug_SIMVASTATIN,falls,75-84,all,falls,75-84,Falls,Falls 75-84,SIMVASTATIN,ABCB1,0.5986453983003682,0.6000000000000001,1.0,dynamics;kinetics;kinetic_pathways,kinetic_pathways,0.4793226991501841
ADD1,FUROSEMIDE,feature_importance_drug_gene,0.0791326075838837,,Top consensus drug feature rank 3; combined importance 0.0791,True,0.0791326075838837,3.0,item_drug_FUROSEMIDE,falls,75-84,all,falls,75-84,Falls,Falls 75-84,FUROSEMIDE,ADD1,1.0,1.0,1.2,dynamics;underappreciated_signaling,underappreciated_signaling,1.0
CETP,SIMVASTATIN,feature_importance_drug_gene,0.05,,Top consensus drug feature rank 5; combined importance 0.0474,True,0.0473723713856008,5.0,item_drug_SIMVASTATIN,falls,75-84,all,falls,75-84,Falls,Falls 75-84,SIMVASTATIN,CETP,0.5986453983003682,0.6000000000000001,1.2,dynamics;underappreciated_signaling,underappreciated_signaling,0.6793226991501841
CYP3A4,SIMVASTATIN,feature_importance_drug_gene,0.05,,Top consensus drug feature rank 5; combined importance 0.0474,True,0.0473723713856008,5.0,item_drug_SIMVASTATIN,falls,75-84,all,falls,75-84,Falls,Falls 75-84,SIMVASTATIN,CYP3A4,0.5986453983003682,0.6000000000000001,1.0,dynamics;kinetics;kinetic_pathways,kinetic_pathways,0.4793226991501841
CYP3A5,SIMVASTATIN,feature_importance_drug_gene,0.05,,Top consensus drug feature rank 5; combined importance 0.0474,True,0.0473723713856008,5.0,item_drug_SIMVASTATIN,falls,75-84,all,falls,75-84,Falls,Falls 75-84,SIMVASTATIN,CYP3A5,0.5986453983003682,0.6000000000000001,1.0,dynamics;kinetics;kinetic_pathways,kinetic_pathways,0.4793226991501841
