screened_pmc_id,doi,title
HSHa1b5b21f,10.1177/29767342251355116,The Association of Perceived Risk for Opioid Overdose and Subsequent Overdose Am
HSHa1b5b21f,10.1016/j.drugalcdep.2025.112764,Sex and race-ethnicity influences on opioid overdose deaths among veterans diagn
HSHa1b5b21f,10.1002/cncr.35866,Chronic opioid use and incident opioid use disorders in survivors of adolescent 
HSHa1b5b21f,10.1093/ntr/ntaf098,Nicotine use is Associated With Elevated Risk of Opioid use Disorder Following T
HSHa1b5b21f,10.1089/jwh.2024.0837,Suicide Attempts Among Women Ages 18-55 Years with Opioid Use: National Addictio
HSHa1b5b21f,10.1080/23744235.2025.2471823,Community-onset bloodstream infection among people with opioid use disorders: a 
HSHa1b5b21f,10.1037/pha0000764,Negative urgency accounts for associations between internalizing symptoms and li
HSHa1b5b21f,10.1016/j.japh.2025.102343,Dare 2 Discuss social media campaign: An educational initiative to improve opioi
HSHa1b5b21f,10.4088/jcp.24m15339,Geographical and Socioeconomic Disparities in Substance and Opioid Use Disorders
HSHa1b5b21f,10.1080/10826084.2024.2434005,Medications for Opioid Use Disorder in People Who Inject Substances: Reflection 
HSHa1b5b21f,10.1016/j.drugalcdep.2024.112506,Transdiagnostic factors predicting prescription opioid-use disorder severity: A 
HSHa1b5b21f,10.1016/j.drugalcdep.2024.112488,An examination of Black-White disparities in repeat nonfatal opioid overdose inc
HSHa1b5b21f,10.1037/tra0001781,Risk and protective factors associated with posttraumatic stress disorder among 
HSHa1b5b21f,10.1016/j.josat.2024.209506,State program enables the identification of factors associated with naloxone awa
HSHa1b5b21f,10.1111/add.16632,Heightened mortality risk after a non-fatal opioid overdose: Risk factors for mo
HSHa1b5b21f,10.1177/29767342241263220,Study Protocol for the Opioid and Pain Treatment in Indigenous Communities Trial
HSHa1b5b21f,10.5055/jom.0860,First Response to Opioids Survey Tool (FROST): Pilot study of a brief screening 
HSHa1b5b21f,10.1016/s2468-2667(24)00098-7,Estimated effects of opioid agonist treatment in prison on all-cause mortality a
HSHa1b5b21f,10.1080/15563650.2024.2348108,Pulmonary edema after naloxone administration for opioid reversal: a systematic 
HSHa1b5b21f,10.1111/dar.13863,Characterising methamphetamine/amphetamine use among opioid agonist therapy-seek
HSHa1b5b21f,10.1111/dar.13832,"Opioid use, prescribing and fatal overdose patterns among racial/ethnic minoriti"
HSHa1b5b21f,10.1055/a-2200-3187,Association between Individual versus Community-level Social Vulnerability and N
HSHa1b5b21f,10.1016/j.josat.2023.209188,"Gender differences in receipt of telehealth versus in person behavioral therapy,"
HSHa1b5b21f,10.1016/j.josat.2023.209158,Correlates of nonfatal overdose among treatment-seeking individuals with non-her
HSHa1b5b21f,10.1016/j.neulet.2023.137468,Methylation and expression quantitative trait loci rs1799971 in the OPRM1 gene a
HSHa1b5b21f,10.1080/10826084.2023.2247068,Risk and Protective Factors Affecting Drug Craving among Patients with Substance
HSHa1b5b21f,10.5055/jom.2023.0781,Tramadol utilization among patients with higher risk of adverse drug events: A c
HSHa1b5b21f,10.1016/j.drugalcdep.2023.109893,Cost-effectiveness of flexible take-home buprenorphine-naloxone versus methadone
HSHa1b5b21f,10.1016/j.drugpo.2023.104021,Take-Home Naloxone and risk management from the perspective of people who surviv
HSHa1b5b21f,10.1080/10826084.2022.2135967,Factors Associated with Non-Evidence-Based Overdose Responses among People Who U
HSHa1b5b21f,10.1111/anae.15933,Effect of discharge opioid on persistent postoperative opioid use: a retrospecti
HSHa1b5b21f,10.1016/s2215-0366(22)00374-1,Key implementation factors in telemedicine-delivered medications for opioid use 
HSHa1b5b21f,10.1016/j.sste.2022.100541,"Relationships between places of residence, injury, and death: Spatial and statis"
HSHa1b5b21f,10.1097/adm.0000000000001007,Buprenorphine Initiation in the Era of High-potency Synthetic Opioids: A Call fo
HSHa1b5b21f,10.1111/dar.13554,"Patient, family members and community pharmacists' views of a proposed overdose "
HSHa1b5b21f,10.1080/10550887.2022.2109377,"Lost and found, safe and sound: a case report surrounding the stabilization of a"
HSHa1b5b21f,10.1016/j.jpsychires.2022.06.039,"Distinguishing clinical factors associated with unintentional overdose, suicidal"
HSHa1b5b21f,10.1353/hpu.2022.0072,Association of Urban-Rural Residence and Concurrent HIV Infection and Opioid Use
HSHa1b5b21f,10.1097/adm.0000000000000937,Sex-Specific Risk Factors and Health Disparity Among Hepatitis C Positive Patien
HSHa1b5b21f,10.1016/j.dld.2021.04.029,Higher-Dose Naloxone Nasal Spray (Kloxxado) for Opioid Overdose.
HSHa1b5b21f,10.1111/dar.13391,Trends in transdermal fentanyl utilisation and fatal fentanyl overdose across Au
HSHa1b5b21f,10.1080/10826084.2021.1975747,Exploring the Interactions between Non-Medical Methamphetamine Use and Prescribe
HSHa1b5b21f,10.1080/08964289.2021.1922347,"Housing Instability, Structural Vulnerability, and Non-Fatal Opioid Overdoses Am"
HSHa1b5b21f,10.1016/j.drugpo.2021.103245,Prevalence and correlates of multiple non-fatal opioid overdoses among people wh
HSHa1b5b21f,10.1097/jxx.0000000000000545,Predictors of serious adverse drug events from opioids: Results from the Food an
HSHa1b5b21f,10.1080/08897077.2020.1827126,Patient acceptance of naloxone resulting from targeted intervention from communi
HSHa1b5b21f,10.1080/08897077.2020.1748162,Prescription-related risk factors for opioid-related overdoses in the era of fen
HSH1fbb06ad,10.1177/10781552231218959,Polypharmacy and drug-drug interactions in metastatic breast cancer patients rec
HSH1fbb06ad,10.1620/tjem.2023.j016,Therapeutic Drug Monitoring of Blood Sirolimus and Tacrolimus Concentrations for
HSH9b503762,10.1016/j.vascn.2025.108393,PolyCheck: A hybrid model for predicting polypharmacy-induced adverse drug react
HSH9b503762,10.1080/14740338.2025.2524400,"Neural dysfunction, inflammatory disorder, and metabolic interference feature in"
HSH9b503762,10.1016/j.phymed.2025.156586,Toosendanin-induced liver damage through irreparable DNA damage and autophagy fl
HSH9b503762,10.1016/j.bbrc.2025.151555,Berberine-loaded albumin nanoparticles alleviate liver damage in rats by modulat
HSH9b503762,10.1109/jbhi.2024.3507738,TransformDDI: The Transformer-Based Joint Multi-Task Model for End-to-End Drug-D
HSH9b503762,10.1080/14740338.2025.2499672,Adverse drug event profile of pharmacotherapies for alcohol use disorder: a retr
HSH9b503762,10.1016/j.artmed.2024.103029,EDDINet: Enhancing drug-drug interaction prediction via information flow and con
HSH9b503762,10.1016/j.intimp.2024.113460,Diltiazem mitigates acute liver injury by targeting NFκB-TXNIP/NLRP3 axis in Rat
HSH9b503762,10.1109/jbhi.2024.3483812,MRGCDDI: Multi-Relation Graph Contrastive Learning Without Data Augmentation for
HSH9b503762,10.1530/rep-24-0183,IMPACT OF REAL-LIFE ENVIRONMENTAL EXPOSURES ON REPRODUCTION: A contemporary revi
HSH9b503762,10.1016/j.bcp.2024.116542,"Sorafenib and SIAIS361034, a novel PROTAC degrader of BCL-xL, display synergisti"
HSH9b503762,10.1089/cmb.2024.0476,BiRNN-DDI: A Drug-Drug Interaction Event Type Prediction Model Based on Bidirect
HSH9b503762,10.1007/s00280-019-03949-5,Association of non-steroidal anti-inflammatory drug use with encephalopathy deve
HSH9b503762,10.1016/j.semarthrit.2024.152469,"Polypharmacy, drug-drug interactions, and adverse drug reactions among systemic "
HSH9b503762,10.1016/j.farma.2023.10.009,[Translated article] Safety profile of nirmatrelvir-ritonavir: Evidence of adver
HSH9b503762,10.1016/j.ymeth.2023.10.007,MATT-DDI: Predicting multi-type drug-drug interactions via heterogeneous attenti
HSH9b503762,10.1016/j.artmed.2023.102640,DDI-GCN: Drug-drug interaction prediction via explainable graph convolutional ne
HSH9b503762,10.1002/jcph.2343,P-Glycoprotein-Mediated Interaction Is a Risk Factor for QT Prolongation in Conc
HSH9b503762,10.1111/bcp.15882,Adverse drug events caused by three high-risk drug-drug interactions in patients
HSH9b503762,10.1248/bpb.b23-00189,Plasma and Hepatic Exposures of Celecoxib and Diclofenac Prescribed Alone in Pat
HSH9b503762,10.37473/dac/10.1016/j.dmpk.2022.100486,High hepatic and plasma exposures of atorvastatin in subjects harboring impaired
HSH9b503762,10.1016/s0140-6736(22)01841-4,A 12-gene pharmacogenetic panel to prevent adverse drug reactions: an open-label
HSH9b503762,10.1002/pds.5583,Identification of polypharmacy patterns in new-users of metformin using the Apri
HSH9b503762,10.1093/bib/bbac209,STNN-DDI: a Substructure-aware Tensor Neural Network to predict Drug-Drug Intera
HSH9b503762,10.1093/bib/bbac134,3DGT-DDI: 3D graph and text based neural network for drug-drug interaction predi
HSH9b503762,10.1248/bpb.b21-00916,Clinical Aspects of Drug-Drug Interaction and Drug Nephrotoxicity at Renal Organ
HSH9b503762,10.1080/15376516.2022.2057267,Implications for herbal polypharmacy: coumarin-induced hepatotoxicity increased 
HSH9b503762,10.1093/ehjcvp/pvac005,Facing the challenge of polypharmacy when prescribing for older people with card
HSH9b503762,10.1016/s2468-1253(21)00301-0,Ursodeoxycholic acid for the prevention of symptomatic gallstone disease after b
HSH9b503762,10.1093/bib/bbab421,MDF-SA-DDI: predicting drug-drug interaction events based on multi-source drug f
HSH9b503762,10.1248/bpb.b20-00986,Adverse Drug Events Caused by Drugs Contraindicated for Coadministration Reporte
HSH9b503762,10.1016/j.atherosclerosis.2021.02.011,TRS2P and LDL-C alone or in combination for predicting absolute benefits from ad
HSH9b503762,10.1016/j.jpsychires.2020.11.006,Intranasal oxytocin versus placebo for hyperphagia and repetitive behaviors in c
HSH9b503762,10.1101/2020.06.30.176016,Predicting adverse drug reactions of two-drug combinations using structural and 
HSHa17702ec,10.1016/j.compbiomed.2025.110406,Multivariate multi-horizon time-series forecasting for real-time patient monitor
HSHa17702ec,10.1080/15504263.2025.2474949,Concurrent Depression Management in Patients with Opioid Use Disorder Undergoing
HSHa17702ec,10.1007/s11739-024-03638-z,Use of resources in elderly patients consulting the emergency department: analys
HSHa17702ec,10.1080/09546634.2023.2177095,Treatment patterns and healthcare costs among patients with psoriasis initiating
HSHa17702ec,10.1017/s0007114522002136,The effects of guar gum supplementation on lipid profile in adults: a GRADE-asse
HSHa17702ec,10.1016/j.drugalcdep.2021.108989,The association between prescription opioid dispensing and opioid-related morbid
