cohort,age_band,bin,combination,drug_names,interaction_size,mean_combined_importance,sum_combined_importance,best_rank,worst_rank,patient_rule_profile_support,strict_rule_support,evidence_type,interpretation_limit
non_opioid_ed,45_54,low,item_drug_ALPRAZOLAM|item_drug_AMOXICILLIN,ALPRAZOLAM + AMOXICILLIN,2,0.0029530363845934,0.0059060727691868,8,15,2000,2000,scenario_topk_rule_profile,co-occurring top SHAP/FFA drug profile; not explicit causal synergy
non_opioid_ed,45_54,low,item_drug_ATENOLOL|item_drug_LISINOPRIL,ATENOLOL + LISINOPRIL,2,0.005851714694719,0.011703429389438,5,18,1996,1996,scenario_topk_rule_profile,co-occurring top SHAP/FFA drug profile; not explicit causal synergy
non_opioid_ed,45_54,low,item_drug_ATENOLOL|item_drug_METRONIDAZOLE,ATENOLOL + METRONIDAZOLE,2,0.0024365492745559497,0.004873098549111899,9,18,1996,1996,scenario_topk_rule_profile,co-occurring top SHAP/FFA drug profile; not explicit causal synergy
non_opioid_ed,45_54,low,item_drug_ATENOLOL|item_drug_MUPIROCIN,ATENOLOL + MUPIROCIN,2,0.00078723651951815,0.0015744730390363,17,18,1995,1995,scenario_topk_rule_profile,co-occurring top SHAP/FFA drug profile; not explicit causal synergy
non_opioid_ed,45_54,low,item_drug_ATENOLOL|item_drug_NAPROXEN,ATENOLOL + NAPROXEN,2,0.00082066898132115,0.0016413379626423,16,18,1996,1996,scenario_topk_rule_profile,co-occurring top SHAP/FFA drug profile; not explicit causal synergy
non_opioid_ed,45_54,low,item_drug_ATENOLOL|item_drug_OMEPRAZOLE,ATENOLOL + OMEPRAZOLE,2,0.0016385708156319,0.0032771416312638,13,18,1996,1996,scenario_topk_rule_profile,co-occurring top SHAP/FFA drug profile; not explicit causal synergy
non_opioid_ed,45_54,low,item_drug_ATENOLOL|item_drug_PREDNISONE,ATENOLOL + PREDNISONE,2,0.0022071187988383,0.0044142375976766,10,18,1985,1984,scenario_topk_rule_profile,co-occurring top SHAP/FFA drug profile; not explicit causal synergy
non_opioid_ed,45_54,low,item_drug_ATENOLOL|item_drug_SIMVASTATIN,ATENOLOL + SIMVASTATIN,2,0.0018900413617382499,0.0037800827234764998,12,18,1996,1996,scenario_topk_rule_profile,co-occurring top SHAP/FFA drug profile; not explicit causal synergy
non_opioid_ed,45_54,low,item_drug_AZITHROMYCIN|item_drug_CEPHALEXIN,AZITHROMYCIN + CEPHALEXIN,2,0.00589831500609405,0.0117966300121881,4,19,2000,2000,scenario_topk_rule_profile,co-occurring top SHAP/FFA drug profile; not explicit causal synergy
non_opioid_ed,45_54,low,item_drug_AZITHROMYCIN|item_drug_ERYTHROMYCIN,AZITHROMYCIN + ERYTHROMYCIN,2,0.01068074771764935,0.0213614954352987,4,6,2000,2000,scenario_topk_rule_profile,co-occurring top SHAP/FFA drug profile; not explicit causal synergy
non_opioid_ed,45_54,low,item_drug_AZITHROMYCIN|item_drug_FENOFIBRATE,AZITHROMYCIN + FENOFIBRATE,2,0.0058393011635264,0.0116786023270528,4,20,1856,1856,scenario_topk_rule_profile,co-occurring top SHAP/FFA drug profile; not explicit causal synergy
non_opioid_ed,45_54,low,item_drug_AZITHROMYCIN|item_drug_GABAPENTIN,AZITHROMYCIN + GABAPENTIN,2,0.006635368613364849,0.013270737226729699,4,14,2000,2000,scenario_topk_rule_profile,co-occurring top SHAP/FFA drug profile; not explicit causal synergy
non_opioid_ed,45_54,low,item_drug_AZITHROMYCIN|item_drug_HYDROCHLOROTHIAZIDE,AZITHROMYCIN + HYDROCHLOROTHIAZIDE,2,0.00720586586249935,0.0144117317249987,4,11,2000,2000,scenario_topk_rule_profile,co-occurring top SHAP/FFA drug profile; not explicit causal synergy
non_opioid_ed,45_54,low,item_drug_AZITHROMYCIN|item_drug_IBUPROFEN,AZITHROMYCIN + IBUPROFEN,2,0.012059863139904349,0.024119726279808698,3,4,2000,2000,scenario_topk_rule_profile,co-occurring top SHAP/FFA drug profile; not explicit causal synergy
non_opioid_ed,45_54,low,item_drug_AZITHROMYCIN|item_drug_KETOCONAZOLE,AZITHROMYCIN + KETOCONAZOLE,2,0.00876941545574325,0.0175388309114865,4,7,2000,2000,scenario_topk_rule_profile,co-occurring top SHAP/FFA drug profile; not explicit causal synergy
non_opioid_ed,45_54,low,item_drug_AZITHROMYCIN|item_drug_LISINOPRIL,AZITHROMYCIN + LISINOPRIL,2,0.01103355291147335,0.0220671058229467,4,5,2000,2000,scenario_topk_rule_profile,co-occurring top SHAP/FFA drug profile; not explicit causal synergy
non_opioid_ed,45_54,low,item_drug_AZITHROMYCIN|item_drug_METRONIDAZOLE,AZITHROMYCIN + METRONIDAZOLE,2,0.0076183874913103,0.0152367749826206,4,9,2000,2000,scenario_topk_rule_profile,co-occurring top SHAP/FFA drug profile; not explicit causal synergy
non_opioid_ed,45_54,low,item_drug_AZITHROMYCIN|item_drug_MUPIROCIN,AZITHROMYCIN + MUPIROCIN,2,0.0059690747362725,0.011938149472545,4,17,1999,1999,scenario_topk_rule_profile,co-occurring top SHAP/FFA drug profile; not explicit causal synergy
non_opioid_ed,45_54,low,item_drug_AZITHROMYCIN|item_drug_NAPROXEN,AZITHROMYCIN + NAPROXEN,2,0.006002507198075499,0.012005014396150999,4,16,2000,2000,scenario_topk_rule_profile,co-occurring top SHAP/FFA drug profile; not explicit causal synergy
non_opioid_ed,45_54,low,item_drug_AZITHROMYCIN|item_drug_OMEPRAZOLE,AZITHROMYCIN + OMEPRAZOLE,2,0.006820409032386249,0.013640818064772499,4,13,2000,2000,scenario_topk_rule_profile,co-occurring top SHAP/FFA drug profile; not explicit causal synergy
non_opioid_ed,45_54,low,item_drug_AZITHROMYCIN|item_drug_PREDNISONE,AZITHROMYCIN + PREDNISONE,2,0.00738895701559265,0.0147779140311853,4,10,1989,1988,scenario_topk_rule_profile,co-occurring top SHAP/FFA drug profile; not explicit causal synergy
non_opioid_ed,45_54,low,item_drug_AZITHROMYCIN|item_drug_SIMVASTATIN,AZITHROMYCIN + SIMVASTATIN,2,0.0070718795784926,0.0141437591569852,4,12,2000,2000,scenario_topk_rule_profile,co-occurring top SHAP/FFA drug profile; not explicit causal synergy
non_opioid_ed,45_54,low,item_drug_CEPHALEXIN|item_drug_ERYTHROMYCIN,CEPHALEXIN + ERYTHROMYCIN,2,0.0054917366586601,0.0109834733173202,6,19,2000,2000,scenario_topk_rule_profile,co-occurring top SHAP/FFA drug profile; not explicit causal synergy
non_opioid_ed,45_54,low,item_drug_CEPHALEXIN|item_drug_FENOFIBRATE,CEPHALEXIN + FENOFIBRATE,2,0.00065029010453715,0.0013005802090743,19,20,1856,1856,scenario_topk_rule_profile,co-occurring top SHAP/FFA drug profile; not explicit causal synergy
non_opioid_ed,45_54,low,item_drug_CEPHALEXIN|item_drug_GABAPENTIN,CEPHALEXIN + GABAPENTIN,2,0.0014463575543756,0.0028927151087512,14,19,2000,2000,scenario_topk_rule_profile,co-occurring top SHAP/FFA drug profile; not explicit causal synergy
non_opioid_ed,45_54,low,item_drug_CEPHALEXIN|item_drug_HYDROCHLOROTHIAZIDE,CEPHALEXIN + HYDROCHLOROTHIAZIDE,2,0.0020168548035101,0.0040337096070202,11,19,2000,2000,scenario_topk_rule_profile,co-occurring top SHAP/FFA drug profile; not explicit causal synergy
non_opioid_ed,45_54,low,item_drug_CEPHALEXIN|item_drug_IBUPROFEN,CEPHALEXIN + IBUPROFEN,2,0.0068708520809151,0.0137417041618302,3,19,2000,2000,scenario_topk_rule_profile,co-occurring top SHAP/FFA drug profile; not explicit causal synergy
non_opioid_ed,45_54,low,item_drug_CEPHALEXIN|item_drug_KETOCONAZOLE,CEPHALEXIN + KETOCONAZOLE,2,0.003580404396754,0.007160808793508,7,19,2000,2000,scenario_topk_rule_profile,co-occurring top SHAP/FFA drug profile; not explicit causal synergy
non_opioid_ed,45_54,low,item_drug_CEPHALEXIN|item_drug_LISINOPRIL,CEPHALEXIN + LISINOPRIL,2,0.005844541852484101,0.011689083704968201,5,19,2000,2000,scenario_topk_rule_profile,co-occurring top SHAP/FFA drug profile; not explicit causal synergy
non_opioid_ed,45_54,low,item_drug_CEPHALEXIN|item_drug_METRONIDAZOLE,CEPHALEXIN + METRONIDAZOLE,2,0.0024293764323210496,0.004858752864642099,9,19,2000,2000,scenario_topk_rule_profile,co-occurring top SHAP/FFA drug profile; not explicit causal synergy
non_opioid_ed,45_54,low,item_drug_CEPHALEXIN|item_drug_MUPIROCIN,CEPHALEXIN + MUPIROCIN,2,0.00078006367728325,0.0015601273545665,17,19,1999,1999,scenario_topk_rule_profile,co-occurring top SHAP/FFA drug profile; not explicit causal synergy
non_opioid_ed,45_54,low,item_drug_CEPHALEXIN|item_drug_NAPROXEN,CEPHALEXIN + NAPROXEN,2,0.00081349613908625,0.0016269922781725,16,19,2000,2000,scenario_topk_rule_profile,co-occurring top SHAP/FFA drug profile; not explicit causal synergy
non_opioid_ed,45_54,low,item_drug_CEPHALEXIN|item_drug_OMEPRAZOLE,CEPHALEXIN + OMEPRAZOLE,2,0.001631397973397,0.003262795946794,13,19,2000,2000,scenario_topk_rule_profile,co-occurring top SHAP/FFA drug profile; not explicit causal synergy
non_opioid_ed,45_54,low,item_drug_CEPHALEXIN|item_drug_PREDNISONE,CEPHALEXIN + PREDNISONE,2,0.0021999459566034,0.0043998919132068,10,19,1989,1988,scenario_topk_rule_profile,co-occurring top SHAP/FFA drug profile; not explicit causal synergy
non_opioid_ed,45_54,low,item_drug_CEPHALEXIN|item_drug_SIMVASTATIN,CEPHALEXIN + SIMVASTATIN,2,0.00188286851950335,0.0037657370390067,12,19,2000,2000,scenario_topk_rule_profile,co-occurring top SHAP/FFA drug profile; not explicit causal synergy
non_opioid_ed,45_54,low,item_drug_ERYTHROMYCIN|item_drug_FENOFIBRATE,ERYTHROMYCIN + FENOFIBRATE,2,0.00543272281609245,0.0108654456321849,6,20,1856,1856,scenario_topk_rule_profile,co-occurring top SHAP/FFA drug profile; not explicit causal synergy
non_opioid_ed,45_54,low,item_drug_ERYTHROMYCIN|item_drug_GABAPENTIN,ERYTHROMYCIN + GABAPENTIN,2,0.0062287902659309,0.0124575805318618,6,14,2000,2000,scenario_topk_rule_profile,co-occurring top SHAP/FFA drug profile; not explicit causal synergy
non_opioid_ed,45_54,low,item_drug_ERYTHROMYCIN|item_drug_HYDROCHLOROTHIAZIDE,ERYTHROMYCIN + HYDROCHLOROTHIAZIDE,2,0.006799287515065399,0.013598575030130799,6,11,2000,2000,scenario_topk_rule_profile,co-occurring top SHAP/FFA drug profile; not explicit causal synergy
non_opioid_ed,45_54,low,item_drug_ERYTHROMYCIN|item_drug_IBUPROFEN,ERYTHROMYCIN + IBUPROFEN,2,0.0116532847924704,0.0233065695849408,3,6,2000,2000,scenario_topk_rule_profile,co-occurring top SHAP/FFA drug profile; not explicit causal synergy
non_opioid_ed,45_54,low,item_drug_ERYTHROMYCIN|item_drug_KETOCONAZOLE,ERYTHROMYCIN + KETOCONAZOLE,2,0.0083628371083093,0.0167256742166186,6,7,2000,2000,scenario_topk_rule_profile,co-occurring top SHAP/FFA drug profile; not explicit causal synergy
non_opioid_ed,45_54,low,item_drug_ERYTHROMYCIN|item_drug_LISINOPRIL,ERYTHROMYCIN + LISINOPRIL,2,0.0106269745640394,0.0212539491280788,5,6,2000,2000,scenario_topk_rule_profile,co-occurring top SHAP/FFA drug profile; not explicit causal synergy
non_opioid_ed,45_54,low,item_drug_ERYTHROMYCIN|item_drug_METRONIDAZOLE,ERYTHROMYCIN + METRONIDAZOLE,2,0.00721180914387635,0.0144236182877527,6,9,2000,2000,scenario_topk_rule_profile,co-occurring top SHAP/FFA drug profile; not explicit causal synergy
non_opioid_ed,45_54,low,item_drug_ERYTHROMYCIN|item_drug_MUPIROCIN,ERYTHROMYCIN + MUPIROCIN,2,0.00556249638883855,0.0111249927776771,6,17,1999,1999,scenario_topk_rule_profile,co-occurring top SHAP/FFA drug profile; not explicit causal synergy
non_opioid_ed,45_54,low,item_drug_ERYTHROMYCIN|item_drug_NAPROXEN,ERYTHROMYCIN + NAPROXEN,2,0.00559592885064155,0.0111918577012831,6,16,2000,2000,scenario_topk_rule_profile,co-occurring top SHAP/FFA drug profile; not explicit causal synergy
non_opioid_ed,45_54,low,item_drug_ERYTHROMYCIN|item_drug_OMEPRAZOLE,ERYTHROMYCIN + OMEPRAZOLE,2,0.0064138306849523,0.0128276613699046,6,13,2000,2000,scenario_topk_rule_profile,co-occurring top SHAP/FFA drug profile; not explicit causal synergy
non_opioid_ed,45_54,low,item_drug_ERYTHROMYCIN|item_drug_PREDNISONE,ERYTHROMYCIN + PREDNISONE,2,0.006982378668158699,0.013964757336317399,6,10,1989,1988,scenario_topk_rule_profile,co-occurring top SHAP/FFA drug profile; not explicit causal synergy
non_opioid_ed,45_54,low,item_drug_ERYTHROMYCIN|item_drug_SIMVASTATIN,ERYTHROMYCIN + SIMVASTATIN,2,0.00666530123105865,0.0133306024621173,6,12,2000,2000,scenario_topk_rule_profile,co-occurring top SHAP/FFA drug profile; not explicit causal synergy
non_opioid_ed,45_54,low,item_drug_FENOFIBRATE|item_drug_GABAPENTIN,FENOFIBRATE + GABAPENTIN,2,0.00138734371180795,0.0027746874236159,14,20,1856,1856,scenario_topk_rule_profile,co-occurring top SHAP/FFA drug profile; not explicit causal synergy
non_opioid_ed,45_54,low,item_drug_FENOFIBRATE|item_drug_HYDROCHLOROTHIAZIDE,FENOFIBRATE + HYDROCHLOROTHIAZIDE,2,0.00195784096094245,0.0039156819218849,11,20,1856,1856,scenario_topk_rule_profile,co-occurring top SHAP/FFA drug profile; not explicit causal synergy
non_opioid_ed,45_54,low,item_drug_FENOFIBRATE|item_drug_IBUPROFEN,FENOFIBRATE + IBUPROFEN,2,0.00681183823834745,0.0136236764766949,3,20,1856,1856,scenario_topk_rule_profile,co-occurring top SHAP/FFA drug profile; not explicit causal synergy
non_opioid_ed,45_54,low,item_drug_FENOFIBRATE|item_drug_KETOCONAZOLE,FENOFIBRATE + KETOCONAZOLE,2,0.00352139055418635,0.0070427811083727,7,20,1856,1856,scenario_topk_rule_profile,co-occurring top SHAP/FFA drug profile; not explicit causal synergy
non_opioid_ed,45_54,low,item_drug_FENOFIBRATE|item_drug_LISINOPRIL,FENOFIBRATE + LISINOPRIL,2,0.00578552800991645,0.0115710560198329,5,20,1856,1856,scenario_topk_rule_profile,co-occurring top SHAP/FFA drug profile; not explicit causal synergy
non_opioid_ed,45_54,low,item_drug_FENOFIBRATE|item_drug_METRONIDAZOLE,FENOFIBRATE + METRONIDAZOLE,2,0.0023703625897533998,0.0047407251795067995,9,20,1856,1856,scenario_topk_rule_profile,co-occurring top SHAP/FFA drug profile; not explicit causal synergy
non_opioid_ed,45_54,low,item_drug_FENOFIBRATE|item_drug_MUPIROCIN,FENOFIBRATE + MUPIROCIN,2,0.0007210498347156,0.0014420996694312,17,20,1855,1855,scenario_topk_rule_profile,co-occurring top SHAP/FFA drug profile; not explicit causal synergy
non_opioid_ed,45_54,low,item_drug_FENOFIBRATE|item_drug_NAPROXEN,FENOFIBRATE + NAPROXEN,2,0.0007544822965185999,0.0015089645930371999,16,20,1856,1856,scenario_topk_rule_profile,co-occurring top SHAP/FFA drug profile; not explicit causal synergy
non_opioid_ed,45_54,low,item_drug_FENOFIBRATE|item_drug_OMEPRAZOLE,FENOFIBRATE + OMEPRAZOLE,2,0.00157238413082935,0.0031447682616587,13,20,1856,1856,scenario_topk_rule_profile,co-occurring top SHAP/FFA drug profile; not explicit causal synergy
non_opioid_ed,45_54,low,item_drug_FENOFIBRATE|item_drug_PREDNISONE,FENOFIBRATE + PREDNISONE,2,0.00214093211403575,0.0042818642280715,10,20,1851,1850,scenario_topk_rule_profile,co-occurring top SHAP/FFA drug profile; not explicit causal synergy
non_opioid_ed,45_54,low,item_drug_FENOFIBRATE|item_drug_SIMVASTATIN,FENOFIBRATE + SIMVASTATIN,2,0.0018238546769357,0.0036477093538714,12,20,1856,1856,scenario_topk_rule_profile,co-occurring top SHAP/FFA drug profile; not explicit causal synergy
non_opioid_ed,45_54,low,item_drug_GABAPENTIN|item_drug_HYDROCHLOROTHIAZIDE,GABAPENTIN + HYDROCHLOROTHIAZIDE,2,0.0027539084107809,0.0055078168215618,11,14,2000,2000,scenario_topk_rule_profile,co-occurring top SHAP/FFA drug profile; not explicit causal synergy
